Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1,排除AST标准化前,排除AST标准化后,排除CM标准化前,排除CM标准化后,排除weight标准化前,排除weight标准化后,排除pdg标准化前,排除pdg标准化后
d99f167fa2efb79b1d16abc4b9d88e4aa95e653d,4,42.52397298,908.7483146,36.30347193,,,34.093,18.2,11.258,3.188,,43,0,1,,,,,,,,
5101c38da1fb06daf7e70691116a4c2179beed18,1,0.303,0,0,,,52.891,17.95,25.799,6.977,,20,0.8,0,,,,,,,,
8756b2191df14d57889deafc127ae51e8c9467c7,4,28.26550139,394.1831849,28.19982092,,,46.874,18.24,21.795,4.749,,90,0,1,,,,,,,,
d5d34ee5f445304ad13633d26fa305c6f227918b,13,1017.945046,11105.01159,114.134928,,,91.095,17.966,55.815,14.376,,209,55,1,,,,,,,,
1e30880ec01f16dac119e89c47fb0e3d1a4a0513,3,22.04928239,187.4043842,21.12949267,,,61.957,17.88,33.867,7.838,,13,11,1,,,,,,,,
6589342e55e9536d348525741f054e5351db57b8,8,332.9367735,7903.773188,62.308712,,,76.56,18.018,44.584,11.212,,116,0,1,,,,,,,,
36aac97df37102e460836cc7fe9a89411225f7cc,2,4.003481199,2216.038614,21.65825278,,,46.846,18.366,21.728,4.745,,6,0.4,0,,,,,,,,
eb69033b0b365631a700c0fcf47be673e86a149d,1,0.363,1.093154855,70.85026616,,,46.776,18.003,21.894,4.751,,14,0,0,,,,,,,,
6e6ba2cc51f5b64cf075f6dfa991edf098dd28f1,1,22.53440304,326.2871076,4.18335974,,,47.603,19.127,21.749,4.723,,15,0.6,0,,,,,,,,
a4b65b0cac7df6c49c9cd428f901abd9af4d04ac,1,2.322955824,593.8595175,11.92079958,,,47.393,18.147,22.255,4.804,,3,0.54,0,,,,,,,,
3e0ccea7dbec07c49edf95ce0182b803467df00c,3,227.9608638,248.3954243,11.77775643,,,49.242,18.69,23.497,5.032,,27,0,1,,,,,,,,
