Commit Hash,Human tagged data,DEffort score,我的分数,我的分数2,标准化后的分数,,标准化前,标准化后,,,总时间/s,调用图时间/s,DDG/s,CDG/s,Changed LoC,ELOC,ERROR for 1
063a3a1b60f14b36bc1ec792afbd184a89c89f0c,13,157.2590659,,,,,14352.37071,163.5256212,,,196.602,152.567,33.832,7.763,83,8,1
8d4ac65ee241fcf26e77f06ef82999b1b5f47c02,5,27.66627416,,,,,127.0321283,12.67372175,,,184.698,151.586,24.922,5.122,19,7.15,0
4af4b1536d5385b3f37a0c4f467e6b05fb6cb859,12,112.3516594,,,,,7279.128278,96.01138267,,,201.701,152.028,37.031,10.106,82,0.11,1
aa45d66b189bbd6c1c594b27f331ba119cb9cffa,5,18.0182164,,,,,3374.031417,27.66531691,,,169.911,152.481,12.3,3.337,7,0,1
b9bce375c2361ac33240450c5d18f102d9ac5d4f,3,3.611954681,,,,,804.0525885,10.33403774,,,168.827,151.791,11.999,3.29,5,0,1
face67e357aef1f8534bcaa2836ed321aba60990,4,165.7676786,,,,,14031.5238,31.22539459,,,169.988,151.831,13.489,2.939,10,0,1
bbf9a14583704e9461eec160db8d16e3242e633f,5,44.96099764,,,,,8797.516462,40.8355338,,,170.77,152.273,13.144,3.659,12,0,1
b98af7ade0a0dc6132274a47cf82d6b4aa48c1e0,10,52.3438194,,,,,22215.23821,38.4754779,,,171.451,155.038,11.622,3.266,32,0,1
f602a16f54f6fe4d34b6a5b5f5e7820517fb4cb3,5,78.95987649,,,,,70.82220621,9.973844013,,,179.989,151.479,18.045,4.055,27,0,1
0491ad3c53dcea90191927a7db75d2aba595beb1,11,81.86049237,,,,,20920.97432,27.02261259,,,167.361,151.054,11.644,3.153,28,0,1
84baf138fb59eb9bec5e0ee705ca32b1f3e68f8b,11,41.41721689,,,,,8066.031784,47.91474418,,,167.125,150.838,11.43,3.268,26,0,1
6694734bc70c2acd6b7e0855b3967ff47dbd4882,8,345.7575076,,,,,11333.74038,53.25665966,,,197.041,152.905,32.034,7.913,30,9.55,1
8e5dad755343fa8aaa09e64056fe6581bf27ef59,16,193.7395,,,,,41399.53078,89.06879155,,,193.536,155.463,28.394,7.215,68,0,1
789f983b340c1140d2a93b1af6a0df73052c14b6,4,11.1026663,,,,,758.0215834,9.982306037,,,187.082,152.383,26.92,5.435,3,8.1,0
52dc346746a509719e64322f638a4a7b5077a9b6,3,131.2520944,,,,,1744.637382,34.33503976,,,192.619,154.898,28.66,6.823,12,10.93,0
803fd738ec9780457f7c4115e452cefa7c36475e,7,65.38553504,,,,,907.828467,60.0627776,,,172.778,155.485,12.341,3.404,35,0,1
dfe772e8d8f32f4c97c270c7c550d6154dbda50f,3,59.53732446,,,,,6759.83672,15.49574814,,,188.856,153.602,26.759,5.878,4,3.33,0
dd1cec42ea59cfd953ef159f8173560ee2fb2832,3,38.41437179,,,,,801.8040953,26.33464259,,,189.647,153.384,26.999,7.194,38,0,1
afc024350d49d0f55b92025a4446ec3d6ff7d221,11,207.481532,,,,,34000.83966,89.3844179,,,172.971,153.861,13.949,3.333,46,191.7625,0
a1891bf11fae7937f3e72064411803511ce18f71,3,12.78254046,,,,,79.39223228,11.74278241,,,183.6,154.541,22.45,4.548,8,0,1
85fdac68505fe5c1d525fe03b7febbfada3618fc,8,172.6272194,,,,,2217.252265,31.90033257,,,187.637,151.79,26.626,6.978,8,0,1
20e16bea10b0e6cc34db73e1ec025b26e422c821,13,102.8107638,,,,,6272.164643,63.45556373,,,170.847,153.94,11.92,3.296,57,0,1
d883f939925af142d117417d128f470d68db700d,3,20.5974781,,,,,745.7880948,12.02280895,,,168.107,150.646,12.348,3.341,6,5.2,0
5ca2b3bd42add17fe2c4ff56d88ea5cfd457ae30,9,88.40858063,,,,,47865.33529,62.40539156,,,185.531,150.081,26.539,6.926,46,9.5,1
1a8fa8383d7c5801cde08cbc8a7c023cad422dbb,1,3.607415769,,,,,2.591291105,24.75699335,,,194.849,150.069,34.425,7.754,8,0.4,0
e907be888e570a5b2db9b1f3c9625a2436a6c49c,0.5,0.33,,,,,0,0,,,173.329,156.96,11.594,3.235,37,0,1
